DEDUPLICATION REPORT (DISCARDED FILES)
========================================
Total Files Discarded: 3974
Breakdown by Source:
  - EXP_BEST: 0
  - EXP_OTHER: 3929
  - AF_TRIMMED: 0
  - AF_RAW: 45

Detailed List:
PDB_ID	Source	Folder
8A31	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8QZ3	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3MFT	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7UK5	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5Y1Z	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3IIW	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4FYS	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2HVE	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5PYA	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8T2J	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5EOB	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3NCA	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8A32	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7OVX	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8UZZ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4HTZ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6NMW	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2CL3	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5PZI	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4Z68	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1WWB	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7USZ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3G84	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5PXQ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5WBO	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2V0V	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1MFW	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1JE6	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6ZND	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6YOP	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5FM9	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5AEH	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3DAB	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5PXT	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4J6G	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5B4W	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
9CZN	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3E1R	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5LAP	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6DU3	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2DB7	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1POE	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5XQH	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5TZX	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1JTC	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2FIC	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3HPN	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5JGA	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2Q1L	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7ZHP	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5UO6	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7P8P	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3FAL	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3NBW	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2E48	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1M8W	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4W9N	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8DJC	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7SBN	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3RJM	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3U3R	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2AQZ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6NCN	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5AM8	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5QHH	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
