FINAL SELECTION REPORT
========================================
Total Unique Structures: 21240
Breakdown by Source:
  - EXP_BEST: 7473
  - EXP_OTHER: 12438
  - AF_TRIMMED: 1131
  - AF_RAW: 198

Detailed List:
PDB_ID	Source	Original_File
7SXH	EXP_BEST	clean_7SXH.pdb
2CQN	EXP_BEST	clean_2CQN.pdb
5QHG	EXP_BEST	clean_5QHG.pdb
4U41	EXP_BEST	clean_4U41.pdb
6GX6	EXP_BEST	clean_6GX6.pdb
8JLP	EXP_BEST	clean_8JLP.pdb
6L71	EXP_BEST	clean_6L71.pdb
7USC	EXP_BEST	clean_7USC.pdb
8A31	EXP_BEST	clean_8A31.pdb
8QZ3	EXP_BEST	clean_8QZ3.pdb
3MFT	EXP_BEST	clean_3MFT.pdb
7UK5	EXP_BEST	clean_7UK5.pdb
5Y1Z	EXP_BEST	clean_5Y1Z.pdb
3IIW	EXP_BEST	clean_3IIW.pdb
4FYS	EXP_BEST	clean_4FYS.pdb
2HM1	EXP_BEST	clean_2HM1.pdb
1MHN	EXP_BEST	clean_1MHN.pdb
2HVE	EXP_BEST	clean_2HVE.pdb
6BFD	EXP_BEST	clean_6BFD.pdb
5PYA	EXP_BEST	clean_5PYA.pdb
8T2J	EXP_BEST	clean_8T2J.pdb
5EOB	EXP_BEST	clean_5EOB.pdb
3NCA	EXP_BEST	clean_3NCA.pdb
4W4W	EXP_BEST	clean_4W4W.pdb
8A32	EXP_BEST	clean_8A32.pdb
7OVX	EXP_BEST	clean_7OVX.pdb
8UZZ	EXP_BEST	clean_8UZZ.pdb
4HTZ	EXP_BEST	clean_4HTZ.pdb
3LPI	EXP_BEST	clean_3LPI.pdb
6NMW	EXP_BEST	clean_6NMW.pdb
6M7X	EXP_BEST	clean_6M7X.pdb
2CL3	EXP_BEST	clean_2CL3.pdb
5PZI	EXP_BEST	clean_5PZI.pdb
9B1F	EXP_BEST	clean_9B1F.pdb
8UWL	EXP_BEST	clean_8UWL.pdb
6RSS	EXP_BEST	clean_6RSS.pdb
7B33	EXP_BEST	clean_7B33.pdb
4Z68	EXP_BEST	clean_4Z68.pdb
1WWB	EXP_BEST	clean_1WWB.pdb
8SMV	EXP_BEST	clean_8SMV.pdb
4RMA	EXP_BEST	clean_4RMA.pdb
7USZ	EXP_BEST	clean_7USZ.pdb
3G84	EXP_BEST	clean_3G84.pdb
8GG9	EXP_BEST	clean_8GG9.pdb
3OHH	EXP_BEST	clean_3OHH.pdb
7QKI	EXP_BEST	clean_7QKI.pdb
5MJA	EXP_BEST	clean_5MJA.pdb
5PXQ	EXP_BEST	clean_5PXQ.pdb
5WBO	EXP_BEST	clean_5WBO.pdb
2V0V	EXP_BEST	clean_2V0V.pdb
1MFW	EXP_BEST	clean_1MFW.pdb
1JE6	EXP_BEST	clean_1JE6.pdb
1NYF	EXP_BEST	clean_1NYF.pdb
6ZND	EXP_BEST	clean_6ZND.pdb
6YOP	EXP_BEST	clean_6YOP.pdb
5FM9	EXP_BEST	clean_5FM9.pdb
4QMX	EXP_BEST	clean_4QMX.pdb
5KZO	EXP_BEST	clean_5KZO.pdb
7YFD	EXP_BEST	clean_7YFD.pdb
5AEH	EXP_BEST	clean_5AEH.pdb
5SJQ	EXP_BEST	clean_5SJQ.pdb
3DAB	EXP_BEST	clean_3DAB.pdb
5PXT	EXP_BEST	clean_5PXT.pdb
3D4Q	EXP_BEST	clean_3D4Q.pdb
4J6G	EXP_BEST	clean_4J6G.pdb
6IUH	EXP_BEST	clean_6IUH.pdb
5B4W	EXP_BEST	clean_5B4W.pdb
9CZN	EXP_BEST	clean_9CZN.pdb
3E1R	EXP_BEST	clean_3E1R.pdb
5U09	EXP_BEST	clean_5U09.pdb
8Y7L	EXP_BEST	clean_8Y7L.pdb
5Y2Z	EXP_BEST	clean_5Y2Z.pdb
5LAP	EXP_BEST	clean_5LAP.pdb
6DU3	EXP_BEST	clean_6DU3.pdb
2DB7	EXP_BEST	clean_2DB7.pdb
8SAH	EXP_BEST	clean_8SAH.pdb
5WG6	EXP_BEST	clean_5WG6.pdb
2J0Z	EXP_BEST	clean_2J0Z.pdb
