Protein_ID,Vina_Score,FlexX_Score,HYDE_Lower_nM,HYDE_Upper_nM,FlexX_Poses,Extracted_ID,Gene_Symbol,Target_Type
clean_3EQR,-7.8,-13.15,4374.513739,434633.804093,10,3EQR,TNK2,Novel Off-target
clean_4XZL,-7.6,-14.33,4605.897168,457623.115892,10,4XZL,AKR1B10,Novel Off-target
clean_6I3D,-9.9,-13.97,5170.899301,513759.418353,10,6I3D,COMT,Novel Off-target
clean_3RIN,-7.7,-14.26,5263.564314,522966.235245,10,3RIN,MAPK14,Novel Off-target
clean_3R94,-8.7,-13.89,5625.139054,558890.823442,10,3R94,AKR1C3,Novel Off-target
clean_1ISG,-7.7,-14.21,6658.732456,661584.439029,10,1ISG,BST1,Novel Off-target
clean_4IFP,-7.7,-14.51,6745.92753,670247.785201,10,4IFP,NLRP1,Novel Off-target
clean_4DBW,-8.3,-14.09,6936.230582,689155.518565,10,4DBW,AKR1C3,Novel Off-target
clean_7MHD,-8.2,-17.9,7245.019848,719835.557821,10,7MHD,FASN,Novel Off-target
clean_3SX7,-7.9,-14.99,7550.229193,750159.910842,10,3SX7,ABO,Novel Off-target
clean_4NW7,-8.1,-13.01,13182.715776,1309780.75471,10,4NW7,PDE4B,Novel Off-target
clean_8CGP,-7.7,-13.33,14667.183489,1457271.398908,10,8CGP,LNPEP,Novel Off-target
clean_4N73,-7.6,-13.41,18124.956478,1800821.589292,10,4N73,NR1D2,Novel Off-target
clean_4DZ5,-8.3,-13.89,20820.341695,2068624.04698,10,4DZ5,AKR1C3,Novel Off-target
clean_4ZS2,-7.7,-15.6,22752.935355,2260638.653559,10,4ZS2,FTO,Novel Off-target
clean_5C6C,-7.6,-15.28,22968.304078,2282036.809469,10,5C6C,PRKG2,Novel Off-target
clean_1XM6,-7.7,-16.99,23092.210106,2294347.605984,10,1XM6,PDE4B,Novel Off-target
clean_2IWZ,-7.7,-14.06,28027.590221,2784706.800657,10,2IWZ,OXSM,Novel Off-target
