Filename,Folder,Format,UniProt_ID,PDB_ID,Has_Match_In_Other_Folder
clean_D6RIA3.pdb,AlphaFold,PDB,clean_D6RIA3,N/A,False
clean_Q969Q6.pdb,AlphaFold,PDB,clean_Q969Q6,N/A,False
clean_Q8IUM7.pdb,AlphaFold,PDB,clean_Q8IUM7,N/A,False
clean_Q9UBX5.pdb,AlphaFold,PDB,clean_Q9UBX5,N/A,False
clean_P22676.pdb,AlphaFold,PDB,clean_P22676,N/A,False
clean_O60687.pdb,AlphaFold,PDB,clean_O60687,N/A,False
clean_O95741.pdb,AlphaFold,PDB,clean_O95741,N/A,False
clean_Q14929.pdb,AlphaFold,PDB,clean_Q14929,N/A,False
clean_Q67FW5.pdb,AlphaFold,PDB,clean_Q67FW5,N/A,False
clean_Q96AQ7.pdb,AlphaFold,PDB,clean_Q96AQ7,N/A,False
clean_Q9BQ70.pdb,AlphaFold,PDB,clean_Q9BQ70,N/A,False
clean_Q7L622.pdb,AlphaFold,PDB,clean_Q7L622,N/A,False
clean_O43182.pdb,AlphaFold,PDB,clean_O43182,N/A,False
clean_O43448.pdb,AlphaFold,PDB,clean_O43448,N/A,False
clean_P23276.pdb,AlphaFold,PDB,clean_P23276,N/A,False
clean_Q8WXH2.pdb,AlphaFold,PDB,clean_Q8WXH2,N/A,False
clean_Q9ULE6.pdb,AlphaFold,PDB,clean_Q9ULE6,N/A,False
clean_O60220.pdb,AlphaFold,PDB,clean_O60220,N/A,False
clean_Q8WXX7.pdb,AlphaFold,PDB,clean_Q8WXX7,N/A,False
clean_Q14123.pdb,AlphaFold,PDB,clean_Q14123,N/A,False
clean_Q9UHQ1.pdb,AlphaFold,PDB,clean_Q9UHQ1,N/A,False
clean_Q04727.pdb,AlphaFold,PDB,clean_Q04727,N/A,False
clean_Q9H4D0.pdb,AlphaFold,PDB,clean_Q9H4D0,N/A,False
clean_Q8NDQ6.pdb,AlphaFold,PDB,clean_Q8NDQ6,N/A,False
clean_Q8IWL1.pdb,AlphaFold,PDB,clean_Q8IWL1,N/A,False
clean_P48634.pdb,AlphaFold,PDB,clean_P48634,N/A,False
clean_I3L3R5.pdb,AlphaFold,PDB,clean_I3L3R5,N/A,False
clean_O95674.pdb,AlphaFold,PDB,clean_O95674,N/A,False
clean_P60323.pdb,AlphaFold,PDB,clean_P60323,N/A,False
clean_Q96GR2.pdb,AlphaFold,PDB,clean_Q96GR2,N/A,False
clean_Q9H1K4.pdb,AlphaFold,PDB,clean_Q9H1K4,N/A,False
clean_Q1AE95.pdb,AlphaFold,PDB,clean_Q1AE95,N/A,False
clean_Q15916.pdb,AlphaFold,PDB,clean_Q15916,N/A,False
clean_Q8N474.pdb,AlphaFold,PDB,clean_Q8N474,N/A,False
clean_A8MT69.pdb,AlphaFold,PDB,clean_A8MT69,N/A,False
clean_Q96SL1.pdb,AlphaFold,PDB,clean_Q96SL1,N/A,False
clean_O95864.pdb,AlphaFold,PDB,clean_O95864,N/A,False
clean_Q9UQC9.pdb,AlphaFold,PDB,clean_Q9UQC9,N/A,False
clean_Q96PV4.pdb,AlphaFold,PDB,clean_Q96PV4,N/A,False
clean_A0A1W2PPL8.pdb,AlphaFold,PDB,clean_A0A1W2PPL8,N/A,False
clean_Q9GZR5.pdb,AlphaFold,PDB,clean_Q9GZR5,N/A,False
clean_Q9GZX3.pdb,AlphaFold,PDB,clean_Q9GZX3,N/A,False
clean_Q86SI9.pdb,AlphaFold,PDB,clean_Q86SI9,N/A,False
clean_Q9Y3D2.pdb,AlphaFold,PDB,clean_Q9Y3D2,N/A,False
clean_O14986.pdb,AlphaFold,PDB,clean_O14986,N/A,False
clean_Q9C0I1.pdb,AlphaFold,PDB,clean_Q9C0I1,N/A,False
clean_Q96LR4.pdb,AlphaFold,PDB,clean_Q96LR4,N/A,False
clean_Q8WWB3.pdb,AlphaFold,PDB,clean_Q8WWB3,N/A,False
clean_Q86VW0.pdb,AlphaFold,PDB,clean_Q86VW0,N/A,False
clean_O75935.pdb,AlphaFold,PDB,clean_O75935,N/A,False
clean_P59942.pdb,AlphaFold,PDB,clean_P59942,N/A,False
clean_Q86SE5.pdb,AlphaFold,PDB,clean_Q86SE5,N/A,False
clean_Q9BQ87.pdb,AlphaFold,PDB,clean_Q9BQ87,N/A,False
clean_O60512.pdb,AlphaFold,PDB,clean_O60512,N/A,False
clean_Q7Z412.pdb,AlphaFold,PDB,clean_Q7Z412,N/A,False
clean_Q8WXS3.pdb,AlphaFold,PDB,clean_Q8WXS3,N/A,False
clean_Q9BQL6.pdb,AlphaFold,PDB,clean_Q9BQL6,N/A,False
clean_Q9NP58.pdb,AlphaFold,PDB,clean_Q9NP58,N/A,False
clean_P0CJ70.pdb,AlphaFold,PDB,clean_P0CJ70,N/A,False
clean_Q12770.pdb,AlphaFold,PDB,clean_Q12770,N/A,False
clean_Q9H2M3.pdb,AlphaFold,PDB,clean_Q9H2M3,N/A,False
clean_Q9NR64.pdb,AlphaFold,PDB,clean_Q9NR64,N/A,False
clean_Q8WUY8.pdb,AlphaFold,PDB,clean_Q8WUY8,N/A,False
clean_Q9UKA4.pdb,AlphaFold,PDB,clean_Q9UKA4,N/A,False
clean_Q15109.pdb,AlphaFold,PDB,clean_Q15109,N/A,False
clean_Q96G30.pdb,AlphaFold,PDB,clean_Q96G30,N/A,False
clean_Q76KD6.pdb,AlphaFold,PDB,clean_Q76KD6,N/A,False
clean_Q9P0K9.pdb,AlphaFold,PDB,clean_Q9P0K9,N/A,False
clean_Q9UBB6.pdb,AlphaFold,PDB,clean_Q9UBB6,N/A,False
clean_Q8WWZ4.pdb,AlphaFold,PDB,clean_Q8WWZ4,N/A,False
clean_Q7RTT9.pdb,AlphaFold,PDB,clean_Q7RTT9,N/A,False
clean_P35610.pdb,AlphaFold,PDB,clean_P35610,N/A,False
clean_Q9BPW9.pdb,AlphaFold,PDB,clean_Q9BPW9,N/A,False
clean_Q8IWL2.pdb,AlphaFold,PDB,clean_Q8IWL2,N/A,False
clean_P57087.pdb,AlphaFold,PDB,clean_P57087,N/A,False
clean_Q9NVV5.pdb,AlphaFold,PDB,clean_Q9NVV5,N/A,False
