From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism
ROMO1	P60602	reviewed	ROMO1_HUMAN	Reactive oxygen species modulator 1 (ROS modulator 1) (Epididymis tissue protein Li 175) (Glyrichin) (Mitochondrial targeting GxxxG motif protein) (MTGM) (Protein MGR2 homolog)	ROMO1 C20orf52	Homo sapiens (Human)
GPR85	P60893	reviewed	GPR85_HUMAN	Probable G-protein coupled receptor 85 (Super conserved receptor expressed in brain 2)	GPR85 SREB2	Homo sapiens (Human)
OSTN	P61366	reviewed	OSTN_HUMAN	Osteocrin (Musclin) [Cleaved into: Processed Osteocrin]	OSTN	Homo sapiens (Human)
ISL1	P61371	reviewed	ISL1_HUMAN	Insulin gene enhancer protein ISL-1 (Islet-1)	ISL1	Homo sapiens (Human)
ERVS71-1	P61550	reviewed	ENVT1_HUMAN	Endogenous retrovirus group S71 member 1 Env polyprotein (Envelope polyprotein) (HERV-T Env protein) (HERV-T_19q13.11 provirus ancestral Env polyprotein) [Includes: Surface protein (SU); Transmembrane protein (TM)]	ERVS71-1	Homo sapiens (Human)
NCALD	P61601	reviewed	NCALD_HUMAN	Neurocalcin-delta	NCALD	Homo sapiens (Human)
GNG11	P61952	reviewed	GBG11_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11	GNG11 GNGT11	Homo sapiens (Human)
VSNL1	P62760	reviewed	VISL1_HUMAN	Visinin-like protein 1 (VILIP) (VLP-1) (Hippocalcin-like protein 3) (HLP3)	VSNL1 VISL1	Homo sapiens (Human)
RIG	P62841	reviewed	RS15_HUMAN	Small ribosomal subunit protein uS19 (40S ribosomal protein S15) (RIG protein)	RPS15 RIG	Homo sapiens (Human)
SELENOW	P63302	reviewed	SELW_HUMAN	Selenoprotein W (SelW)	SELENOW SELW SEPW1	Homo sapiens (Human)
SNURF	P78317	reviewed	RNF4_HUMAN	E3 ubiquitin-protein ligase RNF4 (EC 2.3.2.27) (RING finger protein 4) (Small nuclear ring finger protein) (Protein SNURF)	RNF4 SNURF RES4-26	Homo sapiens (Human)
GPC5	P78333	reviewed	GPC5_HUMAN	Glypican-5 [Cleaved into: Secreted glypican-5]	GPC5	Homo sapiens (Human)
CNTNAP1	P78357	reviewed	CNTP1_HUMAN	Contactin-associated protein 1 (Caspr) (Caspr1) (Neurexin IV) (Neurexin-4) (p190)	CNTNAP1 CASPR NRXN4	Homo sapiens (Human)
NKX3-2	P78367	reviewed	NKX32_HUMAN	Homeobox protein Nkx-3.2 (Bagpipe homeobox protein homolog 1) (Homeobox protein NK-3 homolog B)	NKX3-2 BAPX1 NKX3B	Homo sapiens (Human)
CCTB	P78371	reviewed	TCPB_HUMAN	T-complex protein 1 subunit beta (TCP-1-beta) (EC 3.6.1.-) (CCT-beta) (Chaperonin containing T-complex polypeptide 1 subunit 2)	CCT2 99D8.1 CCTB	Homo sapiens (Human)
PRAME	P78395	reviewed	PRAME_HUMAN	Melanoma antigen preferentially expressed in tumors (Opa-interacting protein 4) (OIP-4) (Preferentially expressed antigen of melanoma)	PRAME MAPE OIP4	Homo sapiens (Human)
CCNA1	P78396	reviewed	CCNA1_HUMAN	Cyclin-A1	CCNA1	Homo sapiens (Human)
SRPX	P78539	reviewed	SRPX_HUMAN	Sushi repeat-containing protein SRPX	SRPX ETX1	Homo sapiens (Human)
MAP1A	P78559	reviewed	MAP1A_HUMAN	Microtubule-associated protein 1A (MAP-1A) (Proliferation-related protein p80) [Cleaved into: MAP1A heavy chain; MAP1 light chain LC2]	MAP1A MAP1L	Homo sapiens (Human)
ABAT	P80404	reviewed	GABT_HUMAN	4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)	ABAT GABAT	Homo sapiens (Human)
BASP1	P80723	reviewed	BASP1_HUMAN	Brain acid soluble protein 1 (22 kDa neuronal tissue-enriched acidic protein) (Neuronal axonal membrane protein NAP-22)	BASP1 NAP22	Homo sapiens (Human)
ARHGAP8	P85298	reviewed	RHG08_HUMAN	Rho GTPase-activating protein 8 (Rho-type GTPase-activating protein 8)	ARHGAP8	Homo sapiens (Human)
PRR5	P85299	reviewed	PRR5_HUMAN	Proline-rich protein 5 (Protein observed with Rictor-1) (Protor-1)	PRR5 PROTOR1 PP610	Homo sapiens (Human)
SHC2	P98077	reviewed	SHC2_HUMAN	SHC-transforming protein 2 (Protein Sck) (SHC-transforming protein B) (Src homology 2 domain-containing-transforming protein C2) (SH2 domain protein C2)	SHC2 SCK SHCB	Homo sapiens (Human)
DGCR2	P98153	reviewed	IDD_HUMAN	Integral membrane protein DGCR2/IDD	DGCR2 IDD KIAA0163	Homo sapiens (Human)
ZXDA	P98168	reviewed	ZXDA_HUMAN	Zinc finger X-linked protein ZXDA	ZXDA	Homo sapiens (Human)
ZXDB	P98169	reviewed	ZXDB_HUMAN	Zinc finger X-linked protein ZXDB	ZXDB	Homo sapiens (Human)
FAM3A	P98173	reviewed	FAM3A_HUMAN	Protein FAM3A (Cytokine-like protein 2-19)	FAM3A 2-19 2.19	Homo sapiens (Human)
FGD1	P98174	reviewed	FGD1_HUMAN	FYVE, RhoGEF and PH domain-containing protein 1 (Faciogenital dysplasia 1 protein) (Rho/Rac guanine nucleotide exchange factor FGD1) (Rho/Rac GEF) (Zinc finger FYVE domain-containing protein 3)	FGD1 FGDY ZFYVE3	Homo sapiens (Human)
PPP2R2B	Q00005	reviewed	2ABB_HUMAN	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform (PP2A subunit B isoform B55-beta) (PP2A subunit B isoform PR55-beta) (PP2A subunit B isoform R2-beta) (PP2A subunit B isoform beta)	PPP2R2B	Homo sapiens (Human)
SIAT2	Q00973	reviewed	B4GN1_HUMAN	Beta-1,4 N-acetylgalactosaminyltransferase 1 (EC 2.4.1.92) ((N-acetylneuraminyl)-galactosylglucosylceramide) (GM2/GD2 synthase) (GalNAc-T)	B4GALNT1 GALGT SIAT2	Homo sapiens (Human)
T1	Q01638	reviewed	ILRL1_HUMAN	Interleukin-1 receptor-like 1 (EC 3.2.2.6) (Protein ST2)	IL1RL1 DER4 ST2 T1	Homo sapiens (Human)
ATP2B2	Q01814	reviewed	AT2B2_HUMAN	Plasma membrane calcium-transporting ATPase 2 (PMCA2) (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 2) (Plasma membrane calcium pump isoform 2)	ATP2B2 PMCA2	Homo sapiens (Human)
POU4F1	Q01851	reviewed	PO4F1_HUMAN	POU domain, class 4, transcription factor 1 (Brain-specific homeobox/POU domain protein 3A) (Brain-3A) (Brn-3A) (Homeobox/POU domain protein RDC-1) (Oct-T1)	POU4F1 BRN3A RDC1	Homo sapiens (Human)
BNC1	Q01954	reviewed	BNC1_HUMAN	Zinc finger protein basonuclin-1	BNC1 BNC	Homo sapiens (Human)
AKAP17A	Q02040	reviewed	AK17A_HUMAN	A-kinase anchor protein 17A (AKAP-17A) (721P) (B-lymphocyte antigen) (Protein XE7) (Protein kinase A-anchoring protein 17A) (PRKA17A) (Splicing factor, arginine/serine-rich 17A)	AKAP17A CXYorf3 DXYS155E SFRS17A XE7	Homo sapiens (Human)
COX6A2	Q02221	reviewed	CX6A2_HUMAN	Cytochrome c oxidase subunit 6A2, mitochondrial (Cytochrome c oxidase polypeptide VIa-heart) (COXVIAH) (Cytochrome c oxidase subunit VIA-muscle) (COX VIa-M)	COX6A2 COX6A COX6AH	Homo sapiens (Human)
SP4	Q02446	reviewed	SP4_HUMAN	Transcription factor Sp4 (SPR-1)	SP4	Homo sapiens (Human)
POU3F1	Q03052	reviewed	PO3F1_HUMAN	POU domain, class 3, transcription factor 1 (Octamer-binding protein 6) (Oct-6) (Octamer-binding transcription factor 6) (OTF-6) (POU domain transcription factor SCIP)	POU3F1 OCT6 OTF6	Homo sapiens (Human)
TLE2	Q04725	reviewed	TLE2_HUMAN	Transducin-like enhancer protein 2 (Enhancer of split groucho-like protein 2) (ESG2)	TLE2	Homo sapiens (Human)
TLE4	Q04727	reviewed	TLE4_HUMAN	Transducin-like enhancer protein 4 (Grg-4) (Groucho-related protein 4)	TLE4 GRG4 KIAA1261	Homo sapiens (Human)
ICA1	Q05084	reviewed	ICA69_HUMAN	Islet cell autoantigen 1 (69 kDa islet cell autoantigen) (ICA69) (Islet cell autoantigen p69) (ICAp69) (p69)	ICA1	Homo sapiens (Human)
PRKCZ	Q05513	reviewed	KPCZ_HUMAN	Protein kinase C zeta type (EC 2.7.11.13) (nPKC-zeta)	PRKCZ PKC2	Homo sapiens (Human)
MEF2C	Q06413	reviewed	MEF2C_HUMAN	Myocyte-specific enhancer factor 2C (Myocyte enhancer factor 2C)	MEF2C	Homo sapiens (Human)
SLC17A2	Q06495	reviewed	NPT2A_HUMAN	Sodium-dependent phosphate transport protein 2A (Sodium-phosphate transport protein 2A) (Na(+)-dependent phosphate cotransporter 2A) (NaPi-3) (Sodium/phosphate cotransporter 2A) (Na(+)/Pi cotransporter 2A) (NaPi-2a) (Solute carrier family 34 member 1)	SLC34A1 NPT2 SLC17A2	Homo sapiens (Human)
SOX4	Q06945	reviewed	SOX4_HUMAN	Transcription factor SOX-4	SOX4	Homo sapiens (Human)
DPT	Q07507	reviewed	DERM_HUMAN	Dermatopontin (Tyrosine-rich acidic matrix protein) (TRAMP)	DPT	Homo sapiens (Human)
TLE5	Q08117	reviewed	TLE5_HUMAN	TLE family member 5 (Amino-terminal enhancer of split) (Amino enhancer of split) (Gp130-associated protein GAM) (Grg-5) (Groucho-related protein 5) (Protein ESP1) (Protein GRG) (TLE family member 5, transcriptional modulator)	TLE5 AES GRG GRG5	Homo sapiens (Human)
EHHADH	Q08426	reviewed	ECHP_HUMAN	Peroxisomal bifunctional enzyme (PBE) (PBFE) (L-bifunctional protein) (LBP) (Multifunctional enzyme 1) (MFE1) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	EHHADH ECHD	Homo sapiens (Human)
ADCY2	Q08462	reviewed	ADCY2_HUMAN	Adenylate cyclase type 2 (EC 4.6.1.1) (ATP pyrophosphate-lyase 2) (Adenylate cyclase type II) (Adenylyl cyclase 2)	ADCY2 KIAA1060	Homo sapiens (Human)
ADCY1	Q08828	reviewed	ADCY1_HUMAN	Adenylate cyclase type 1 (EC 4.6.1.1) (ATP pyrophosphate-lyase 1) (Adenylate cyclase type I) (Adenylyl cyclase 1) (Ca(2+)/calmodulin-activated adenylyl cyclase)	ADCY1	Homo sapiens (Human)
NSUN2	Q08J23	reviewed	NSUN2_HUMAN	RNA cytosine C(5)-methyltransferase NSUN2 (EC 2.1.1.-) (Myc-induced SUN domain-containing protein) (Misu) (NOL1/NOP2/Sun domain family member 2) (Substrate of AIM1/Aurora kinase B) (mRNA cytosine C(5)-methyltransferase) (EC 2.1.1.-) (tRNA cytosine C(5)-methyltransferase) (EC 2.1.1.-, EC 2.1.1.203) (tRNA methyltransferase 4 homolog) (hTrm4)	NSUN2 SAKI TRM4	Homo sapiens (Human)
NIPAL4	Q0D2K0	reviewed	NIPA4_HUMAN	Magnesium transporter NIPA4 (Ichthyin) (NIPA-like protein 4) (Non-imprinted in Prader-Willi/Angelman syndrome region protein 4)	NIPAL4 ICHN NIPA4	Homo sapiens (Human)
SLC10A7	Q0GE19	reviewed	NTCP7_HUMAN	Sodium/bile acid cotransporter 7 (Na(+)/bile acid cotransporter 7) (Solute carrier family 10 member 7)	SLC10A7 C4orf13 P7 PSEC0051	Homo sapiens (Human)
APOBR	Q0VD83	reviewed	APOBR_HUMAN	Apolipoprotein B receptor (Apolipoprotein B-100 receptor) (Apolipoprotein B-48 receptor) (Apolipoprotein B48 receptor) (apoB-48R)	APOBR APOB48R	Homo sapiens (Human)
CGNL1	Q0VF96	reviewed	CGNL1_HUMAN	Cingulin-like protein 1 (Junction-associated coiled-coil protein) (Paracingulin)	CGNL1 JACOP KIAA1749	Homo sapiens (Human)
USP17L24	Q0WX57	reviewed	U17LO_HUMAN	Ubiquitin carboxyl-terminal hydrolase 17-like protein 24 (EC 3.4.19.12) (Deubiquitinating enzyme 17) (Ubiquitin thioesterase 17) (Ubiquitin-specific-processing protease 17)	USP17L24 USP17 USP17H USP17I USP17J USP17K USP17L USP17M; USP17L25; USP17L26; USP17L27; USP17L28; USP17L29; USP17L30	Homo sapiens (Human)
MN1	Q10571	reviewed	MN1_HUMAN	Transcriptional activator MN1 (Probable tumor suppressor protein MN1)	MN1	Homo sapiens (Human)
PMPCA	Q10713	reviewed	MPPA_HUMAN	Mitochondrial-processing peptidase subunit alpha (Alpha-MPP) (Inactive zinc metalloprotease alpha) (P-55)	PMPCA INPP5E KIAA0123 MPPA	Homo sapiens (Human)
FUT5	Q11128	reviewed	FUT5_HUMAN	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5 (EC 2.4.1.152) (3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT5) (EC 2.4.1.65) (Fucosyltransferase 5) (Fucosyltransferase V) (Fuc-TV) (FucT-V) (Galactoside 3-L-fucosyltransferase)	FUT5	Homo sapiens (Human)
SCAP	Q12770	reviewed	SCAP_HUMAN	Sterol regulatory element-binding protein cleavage-activating protein (SCAP) (SREBP cleavage-activating protein)	SCAP KIAA0199 PSEC0227	Homo sapiens (Human)
TFCP2	Q12800	reviewed	TFCP2_HUMAN	Alpha-globin transcription factor CP2 (SAA3 enhancer factor) (Transcription factor LSF)	TFCP2 LSF SEF	Homo sapiens (Human)
BRX	Q12802	reviewed	AKP13_HUMAN	A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47)	AKAP13 BRX HT31 LBC	Homo sapiens (Human)
POU4F2	Q12837	reviewed	PO4F2_HUMAN	POU domain, class 4, transcription factor 2 (Brain-specific homeobox/POU domain protein 3B) (Brain-3B) (Brn-3B)	POU4F2 BRN3B	Homo sapiens (Human)
FRP	Q12841	reviewed	FSTL1_HUMAN	Follistatin-related protein 1 (Follistatin-like protein 1)	FSTL1 FRP	Homo sapiens (Human)
MAP4K2	Q12851	reviewed	M4K2_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 2 (EC 2.7.11.1) (B lymphocyte serine/threonine-protein kinase) (Germinal center kinase) (GC kinase) (MAPK/ERK kinase kinase kinase 2) (MEK kinase kinase 2) (MEKKK 2) (Rab8-interacting protein)	MAP4K2 GCK RAB8IP	Homo sapiens (Human)
TMEM115	Q12893	reviewed	TM115_HUMAN	Transmembrane protein 115 (Placental protein 6) (Protein PL6)	TMEM115 PL6 LUCA11.2	Homo sapiens (Human)
IFRD2	Q12894	reviewed	IFRD2_HUMAN	Interferon-related developmental regulator 2 (Protein SKMC15)	IFRD2	Homo sapiens (Human)
ELAVL2	Q12926	reviewed	ELAV2_HUMAN	ELAV-like protein 2 (ELAV-like neuronal protein 1) (Hu-antigen B) (HuB) (Nervous system-specific RNA-binding protein Hel-N1)	ELAVL2 HUB	Homo sapiens (Human)
ABR	Q12979	reviewed	ABR_HUMAN	Active breakpoint cluster region-related protein	ABR	Homo sapiens (Human)
BNIP1	Q12981	reviewed	SEC20_HUMAN	Vesicle transport protein SEC20 (BCL2/adenovirus E1B 19 kDa protein-interacting protein 1) (Transformation-related gene 8 protein) (TRG-8)	BNIP1 NIP1 SEC20L TRG8	Homo sapiens (Human)
AKAP6	Q13023	reviewed	AKAP6_HUMAN	A-kinase anchor protein 6 (AKAP-6) (A-kinase anchor protein 100 kDa) (AKAP 100) (Protein kinase A-anchoring protein 6) (PRKA6) (mAKAP)	AKAP6 AKAP100 KIAA0311	Homo sapiens (Human)
COASY	Q13057	reviewed	COASY_HUMAN	Bifunctional coenzyme A synthase (CoA synthase) (NBP) (POV-2) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT); Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)]	COASY PSEC0106	Homo sapiens (Human)
IFT88	Q13099	reviewed	IFT88_HUMAN	Intraflagellar transport protein 88 homolog (Recessive polycystic kidney disease protein Tg737 homolog) (Tetratricopeptide repeat protein 10) (TPR repeat protein 10)	IFT88 TG737 TTC10	Homo sapiens (Human)
SELENBP1	Q13228	reviewed	SBP1_HUMAN	Methanethiol oxidase (MTO) (EC 1.8.3.4) (56 kDa selenium-binding protein) (SBP56) (SP56) (Selenium-binding protein 1)	SELENBP1 SBP	Homo sapiens (Human)
SRSF9	Q13242	reviewed	SRSF9_HUMAN	Serine/arginine-rich splicing factor 9 (Pre-mRNA-splicing factor SRp30C) (Splicing factor, arginine/serine-rich 9)	SRSF9 SFRS9 SRP30C	Homo sapiens (Human)
SEMA3F	Q13275	reviewed	SEM3F_HUMAN	Semaphorin-3F (Sema III/F) (Semaphorin IV) (Sema IV)	SEMA3F	Homo sapiens (Human)
STX3	Q13277	reviewed	STX3_HUMAN	Syntaxin-3	STX3 STX3A	Homo sapiens (Human)
RIG	Q13278	reviewed	RIG_HUMAN	Putative protein RIG (Protein regulated in glioma)	RIG	Homo sapiens (Human)
CLN3	Q13286	reviewed	CLN3_HUMAN	Battenin (Batten disease protein) (Protein CLN3)	CLN3 BTS	Homo sapiens (Human)
NMI	Q13287	reviewed	NMI_HUMAN	N-myc-interactor (Nmi) (N-myc and STAT interactor)	NMI	Homo sapiens (Human)
CDK5R2	Q13319	reviewed	CD5R2_HUMAN	Cyclin-dependent kinase 5 activator 2 (CDK5 activator 2) (Cyclin-dependent kinase 5 regulatory subunit 2) (p39) (p39I)	CDK5R2 NCK5AI	Homo sapiens (Human)
AP3B2	Q13367	reviewed	AP3B2_HUMAN	AP-3 complex subunit beta-2 (Adaptor protein complex AP-3 subunit beta-2) (Adaptor-related protein complex 3 subunit beta-2) (Beta-3B-adaptin) (Clathrin assembly protein complex 3 beta-2 large chain) (Neuron-specific vesicle coat protein beta-NAP)	AP3B2	Homo sapiens (Human)
ORC1	Q13415	reviewed	ORC1_HUMAN	Origin recognition complex subunit 1 (Replication control protein 1)	ORC1 ORC1L PARC1	Homo sapiens (Human)
SNTA1	Q13424	reviewed	SNTA1_HUMAN	Alpha-1-syntrophin (59 kDa dystrophin-associated protein A1 acidic component 1) (Pro-TGF-alpha cytoplasmic domain-interacting protein 1) (TACIP1) (Syntrophin-1)	SNTA1 SNT1	Homo sapiens (Human)
DRP2	Q13474	reviewed	DRP2_HUMAN	Dystrophin-related protein 2 (DRP-2)	DRP2	Homo sapiens (Human)
MAMLD1	Q13495	reviewed	MAMD1_HUMAN	Mastermind-like domain-containing protein 1 (F18) (Protein CG1)	MAMLD1 CG1 CXorf6	Homo sapiens (Human)
TUBB4	Q13509	reviewed	TBB3_HUMAN	Tubulin beta-3 chain (Tubulin beta-4 chain) (Tubulin beta-III)	TUBB3 TUBB4	Homo sapiens (Human)
OLIG2	Q13516	reviewed	OLIG2_HUMAN	Oligodendrocyte transcription factor 2 (Oligo2) (Class B basic helix-loop-helix protein 1) (bHLHb1) (Class E basic helix-loop-helix protein 19) (bHLHe19) (Protein kinase C-binding protein 2) (Protein kinase C-binding protein RACK17)	OLIG2 BHLHB1 BHLHE19 PRKCBP2 RACK17	Homo sapiens (Human)
ATR	Q13535	reviewed	ATR_HUMAN	Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1)	ATR FRP1	Homo sapiens (Human)
MIR9-1HG	Q13536	reviewed	CROC4_HUMAN	Protein CROC-4 (Contingent replication of cDNA 4) (MIR9-1 host gene)	MIR9-1HG C1orf61 CROC4	Homo sapiens (Human)
RIP	Q13546	reviewed	RIPK1_HUMAN	Receptor-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (Cell death protein RIP) (Receptor-interacting protein 1) (RIP-1)	RIPK1 RIP RIP1	Homo sapiens (Human)
HPP1	Q13564	reviewed	ULA1_HUMAN	NEDD8-activating enzyme E1 regulatory subunit (Amyloid beta precursor protein-binding protein 1, 59 kDa) (APP-BP1) (Amyloid protein-binding protein 1) (Proto-oncogene protein 1)	NAE1 APPBP1 HPP1	Homo sapiens (Human)
SKIP	Q13573	reviewed	SNW1_HUMAN	SNW domain-containing protein 1 (Nuclear protein SkiP) (Nuclear receptor coactivator NCoA-62) (Ski-interacting protein)	SNW1 SKIIP SKIP	Homo sapiens (Human)
PWP1	Q13610	reviewed	PWP1_HUMAN	Periodic tryptophan protein 1 homolog (Keratinocyte protein IEF SSP 9502)	PWP1	Homo sapiens (Human)
CDH14	Q13634	reviewed	CAD18_HUMAN	Cadherin-18 (Cadherin-14)	CDH18 CDH14	Homo sapiens (Human)
RIN1	Q13671	reviewed	RIN1_HUMAN	Ras and Rab interactor 1 (Ras inhibitor JC99) (Ras interaction/interference protein 1)	RIN1	Homo sapiens (Human)
AAMP	Q13685	reviewed	AAMP_HUMAN	Angio-associated migratory cell protein	AAMP	Homo sapiens (Human)
CKLF	Q13887	reviewed	KLF5_HUMAN	Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)	KLF5 BTEB2 CKLF IKLF	Homo sapiens (Human)
GRF2	Q13905	reviewed	RPGF1_HUMAN	Rap guanine nucleotide exchange factor 1 (CRK SH3-binding GNRP) (Guanine nucleotide-releasing factor 2) (Protein C3G)	RAPGEF1 GRF2	Homo sapiens (Human)
CCNI	Q14094	reviewed	CCNI_HUMAN	Cyclin-I	CCNI	Homo sapiens (Human)
PDE1C	Q14123	reviewed	PDE1C_HUMAN	Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C (Cam-PDE 1C) (EC 3.1.4.17) (Hcam3)	PDE1C	Homo sapiens (Human)
DGCR6	Q14129	reviewed	DGCR6_HUMAN	Protein DGCR6 (DiGeorge syndrome critical region 6)	DGCR6	Homo sapiens (Human)
DHX34	Q14147	reviewed	DHX34_HUMAN	Probable ATP-dependent RNA helicase DHX34 (EC 3.6.4.13) (DEAH box protein 34) (DExH-box helicase 34)	DHX34 DDX34 KIAA0134	Homo sapiens (Human)
DOC2B	Q14184	reviewed	DOC2B_HUMAN	Double C2-like domain-containing protein beta (Doc2-beta)	DOC2B DOC2BL	Homo sapiens (Human)
ZMYM3	Q14202	reviewed	ZMYM3_HUMAN	Zinc finger MYM-type protein 3 (Zinc finger protein 261)	ZMYM3 DXS6673E KIAA0385 ZNF261	Homo sapiens (Human)
RCAN2	Q14206	reviewed	RCAN2_HUMAN	Calcipressin-2 (Down syndrome candidate region 1-like 1) (Myocyte-enriched calcineurin-interacting protein 2) (MCIP2) (Regulator of calcineurin 2) (Thyroid hormone-responsive protein ZAKI-4)	RCAN2 DSCR1L1 ZAKI4	Homo sapiens (Human)
ERV3-1	Q14264	reviewed	ENR1_HUMAN	Endogenous retrovirus group 3 member 1 Env polyprotein (ERV-3 envelope protein) (ERV3 envelope protein) (ERV3-1 envelope protein) (Envelope polyprotein) (HERV-R envelope protein) (ERV-R envelope protein) (HERV-R_7q21.2 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)]	ERV3-1 ERV3	Homo sapiens (Human)
FASTK	Q14296	reviewed	FASTK_HUMAN	Fas-activated serine/threonine kinase (FAST kinase) (EC 2.7.11.1) (EC 2.7.11.8)	FASTK	Homo sapiens (Human)
SLC29A2	Q14542	reviewed	S29A2_HUMAN	Equilibrative nucleoside transporter 2 (hENT2) (36 kDa nucleolar protein HNP36) (Delayed-early response protein 12) (Equilibrative nitrobenzylmercaptopurine riboside-insensitive nucleoside transporter) (Equilibrative NBMPR-insensitive nucleoside transporter) (Hydrophobic nucleolar protein, 36 kDa) (Nucleoside transporter, ei-type) (Solute carrier family 29 member 2)	SLC29A2 DER12 ENT2 HNP36	Homo sapiens (Human)
DMC1	Q14565	reviewed	DMC1_HUMAN	Meiotic recombination protein DMC1/LIM15 homolog	DMC1 DMC1H LIM15	Homo sapiens (Human)
ELAVL3	Q14576	reviewed	ELAV3_HUMAN	ELAV-like protein 3 (Hu-antigen C) (HuC) (Paraneoplastic cerebellar degeneration-associated antigen) (Paraneoplastic limbic encephalitis antigen 21)	ELAVL3 HUC PLE21	Homo sapiens (Human)
INPP5A	Q14642	reviewed	I5P1_HUMAN	Inositol polyphosphate-5-phosphatase A (EC 3.1.3.56) (43 kDa inositol polyphosphate 5-phosphatase) (Type I inositol 1,4,5-trisphosphate 5-phosphatase) (5PTase)	INPP5A 5PTASE	Homo sapiens (Human)
NCOA6	Q14686	reviewed	NCOA6_HUMAN	Nuclear receptor coactivator 6 (Activating signal cointegrator 2) (ASC-2) (Amplified in breast cancer protein 3) (Cancer-amplified transcriptional coactivator ASC-2) (Nuclear receptor coactivator RAP250) (NRC RAP250) (Nuclear receptor-activating protein, 250 kDa) (Peroxisome proliferator-activated receptor-interacting protein) (PPAR-interacting protein) (PRIP) (Thyroid hormone receptor-binding protein)	NCOA6 AIB3 KIAA0181 RAP250 TRBP	Homo sapiens (Human)
KCNAB1	Q14722	reviewed	KCAB1_HUMAN	Voltage-gated potassium channel subunit beta-1 (EC 1.1.1.-) (K(+) channel subunit beta-1) (Kv-beta-1)	KCNAB1 KCNA1B	Homo sapiens (Human)
HLX	Q14774	reviewed	HLX_HUMAN	H2.0-like homeobox protein (Homeobox protein HB24) (Homeobox protein HLX1)	HLX HLX1	Homo sapiens (Human)
SLC17A1	Q14916	reviewed	NPT1_HUMAN	Sodium-dependent phosphate transport protein 1 (Na(+)/PI cotransporter 1) (Na/Pi-4) (Renal Na(+)-dependent phosphate cotransporter 1) (Renal sodium-dependent phosphate transport protein 1) (Renal sodium-phosphate transport protein 1) (Sodium/phosphate cotransporter 1) (Solute carrier family 17 member 1)	SLC17A1 NPT1	Homo sapiens (Human)
ZNF169	Q14929	reviewed	ZN169_HUMAN	Zinc finger protein 169	ZNF169	Homo sapiens (Human)
SLC9A5	Q14940	reviewed	SL9A5_HUMAN	Sodium/hydrogen exchanger 5 (Na(+)/H(+) exchanger 5) (NHE-5) (Solute carrier family 9 member 5)	SLC9A5 NHE5	Homo sapiens (Human)
GPNMB	Q14956	reviewed	GPNMB_HUMAN	Transmembrane glycoprotein NMB (Hematopoietic growth factor inducible neurokinin-1 type)	GPNMB HGFIN NMB UNQ1725/PRO9925	Homo sapiens (Human)
NWD1	Q149M9	reviewed	NWD1_HUMAN	NACHT domain- and WD repeat-containing protein 1	NWD1	Homo sapiens (Human)
TMEM132D	Q14C87	reviewed	T132D_HUMAN	Transmembrane protein 132D (Mature oligodendrocytes transmembrane protein) (Mature OL transmembrane protein)	TMEM132D HBE120 KIAA1944 MOLT	Homo sapiens (Human)
ARHGAP19	Q14CB8	reviewed	RHG19_HUMAN	Rho GTPase-activating protein 19 (Rho-type GTPase-activating protein 19)	ARHGAP19	Homo sapiens (Human)
