From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism
PPEF1	O14829	reviewed	PPE1_HUMAN	Serine/threonine-protein phosphatase with EF-hands 1 (PPEF-1) (EC 3.1.3.16) (Protein phosphatase with EF calcium-binding domain) (PPEF) (Serine/threonine-protein phosphatase 7) (PP7)	PPEF1 PPEF PPP7C	Homo sapiens (Human)
MGST3	O14880	reviewed	MGST3_HUMAN	Glutathione S-transferase 3, mitochondrial (GST-3) (EC 2.5.1.-) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20)	MGST3	Homo sapiens (Human)
WNT9B	O14905	reviewed	WNT9B_HUMAN	Protein Wnt-9b (Protein Wnt-14b) (Protein Wnt-15)	WNT9B WNT14B WNT15 UNQ6973/PRO21956	Homo sapiens (Human)
LIN7A	O14910	reviewed	LIN7A_HUMAN	Protein lin-7 homolog A (Lin-7A) (hLin-7) (Mammalian lin-seven protein 1) (MALS-1) (Tax interaction protein 33) (TIP-33) (Vertebrate lin-7 homolog 1) (Veli-1)	LIN7A MALS1 VELI1	Homo sapiens (Human)
SLC27A2	O14975	reviewed	S27A2_HUMAN	Long-chain fatty acid transport protein 2 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Phytanate--CoA ligase) (EC 6.2.1.24) (Solute carrier family 27 member 2) (THCA-CoA ligase) (EC 6.2.1.7) (Very long-chain acyl-CoA synthetase) (VLACS) (VLCS) (EC 6.2.1.-) (Very long-chain-fatty-acid-CoA ligase)	SLC27A2 ACSVL1 FACVL1 FATP2 VLACS	Homo sapiens (Human)
ZNF263	O14978	reviewed	ZN263_HUMAN	Zinc finger protein 263 (Zinc finger protein FPM315) (Zinc finger protein with KRAB and SCAN domains 12)	ZNF263 FPM315 ZKSCAN12	Homo sapiens (Human)
PIP5K1B	O14986	reviewed	PI51B_HUMAN	Phosphatidylinositol 4-phosphate 5-kinase type-1 beta (PIP5K1-beta) (PtdIns(4)P-5-kinase 1 beta) (EC 2.7.1.68) (Phosphatidylinositol 4-phosphate 5-kinase type I beta) (PIP5KIbeta) (Protein STM-7) (Type I phosphatidylinositol 4-phosphate 5-kinase beta)	PIP5K1B STM7	Homo sapiens (Human)
CEP290	O15078	reviewed	CE290_HUMAN	Centrosomal protein of 290 kDa (Cep290) (Bardet-Biedl syndrome 14 protein) (Cancer/testis antigen 87) (CT87) (Nephrocystin-6) (Tumor antigen se2-2)	CEP290 BBS14 KIAA0373 NPHP6	Homo sapiens (Human)
SNPH	O15079	reviewed	SNPH_HUMAN	Syntaphilin	SNPH KIAA0374	Homo sapiens (Human)
SCAMP1	O15126	reviewed	SCAM1_HUMAN	Secretory carrier-associated membrane protein 1 (Secretory carrier membrane protein 1)	SCAMP1 SCAMP	Homo sapiens (Human)
